"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-206221","tlahuelōni.","tlahuelōni.","tlach2.","Pehua temo tlalli canahya. “Ipotreroh Martin tlahuel tlahueloni campa motlaloa atl quemman tlaahuetzi, yeca axcanah quincalaquiah tlapiyalmeh. ”","# En algún lugar nada más está desboronado la tierra y empieza bajarse. “En el potrero de Martín se parte mucho por eso no meten animales”.","","for the ground to sink in a certain place.","tla6, huelōni.","IDIEZ"
"WHP-206222","tlaihuinti.","tlaihuinti.","tlach1.","TLAIHUINTITOC. Macehualmeh cuaixpoyahuih huan zan huehhuetzih quemman quionih huinoh canahya. “Campa Mario tlanamaca zan tlahuel tlaihuintitoc pampa quinamaca huinoh huan chichic. ”","# todas la personas se marean y nada mas se caen porque toman agua ardiente. “cuando algun lugar hay baile toman demasiado porque venden agua ardiente y cerveza”. ","","for everyone in a certain place to be drunk.","tla6, ihuinti.","IDIEZ"
"WHP-206223","tlamāmahquētl.","tlamāmahquētl.","tlat.","Macehualli tlacatl zo cahuayoh tlen quitlaliah ce tlenhueli pan icuitlapan para quihuicaz ce canahya. “Armando quitlanehuiz ce tlamamahquetl pampa quipalehuiz cinzacaz. ”","","","porter.","tla1, māmā, cā.","IDIEZ"
"WHP-206224","tlamihtōtiā.","tlamihtōtiā.","tlach. axahci.","TLAMIHTOTIHTOC. Nochimeh tlen itztoqueh pan ce tlaixpiyalli quioholiniah ininicxi huan inintlacayo quemman quicaquih tlatzotzontli. “Zan tlamihtotihtoc ichan Victorina pampa tlatzotzonanih tlen itztoqueh nopayoh tlahuel cualli tlatzotzonah. ”","# todos los que estan en un baile mueven sus pies y sus cuerpos cuando escuchan la musica. “nada mas están bailando en casa de Victorina porque los musicos los que estan ahí tocan muy bien”. ","","for everyone in a certain place to be dancing.","tla6, mihtōtiā.","IDIEZ"
"WHP-206225","tlamihyōtiā.","tlamihyōtiā.","tlach3.","Tlaahhuiac zo tlapotehui canahya. “Icalihtic Hilaria tlahuel tlamihyotia pampa zan calihtic tlapahpaca. ”","# hay aire que huele feo en algun lugar. “adentro de la casa de Hilaria huele mucho porque nada mas adentro lava los trastes”.","","for a place to smell (good or bad).","tla6, mihyōtiā.","IDIEZ"
"WHP-206226","tlanōquīltiā.","tlanōquīltiā.","tlach3.","nech. Macehualli zo tlapiyalli axquiihtihuelitta ce tlamantli huan pehua yohui cuatenno. “Miriam quitlanoquiltih atolli tlen quionic yalhuaya” . ","# nech. Una persona y un animal domestico lo daña algo en el estomago y empieza ir al baño. “Miriam le hizo daño el atole lo tomó ayer”.","","for a food to make s.o. have diarrhea.","tlanōquiya, ltiā1.","IDIEZ"
"WHP-206227","tlapāniliā.","tlapāniliā.","tlach3.","nic. Macehualli quitlahcoitta ce tlamantli tlen ceyoc. “Celia quitlapanilih icuacafen inanan huan axquitlaxtlahuih, zan cafeh quimacac. ” ","# nic. Una persona le rompe algo a otro que está enredado y le quita la semilla. “Celia quebró el árbol de su mamá y no le pagó nada más le dio café”.","","to break s.t. that belongs to s.o. else.","tlapāna, liā2.","IDIEZ"
"WHP-206228","māhuitziyān.","māhuitziyān.","tlap.","no. Imah macehualli tlen ica tlahuel tequichihua. “Nitlahcuiloa yehtectzin ica nomah nemahtli pampa quena nomahuitziyan. ”","","","s.o.ʻs good hand.","māitl, huetzi, yān.","IDIEZ"
"WHP-206229","tlatiliā.","tlatiliā.","tlach3.","nic. Macehualli quitlalhuilia tlitl ce tlamantli tlen ceyoc. “Bertha quitlatilih icoton iconeuh pampa tzayantoyaya huan zozolticca. ”","# una persona le pone fuego una cosa de otra persona. “bertha le quemó su ropa a su hijo porqu ella estaba rota”. ","","to set fire to s.t. that belongs to s.o. else.","tlatiā, liā2.","IDIEZ"
"WHP-206230","tlatequiyān.","tlatequiyān.","tlap.","i. Ce achi ce cochiyoh, tiherah zo ceyoc tlamantli tlen campa tlatentilli. “Pedro quimaquilih tetl ica imacheteh campa itlatequiyan huan naman tentolontic. ”","","","the blade of a knife, scissors or anything that is sharpened.","tlatequi, yān.","IDIEZ"
"WHP-206231","tlatixtli.","tlatixtli.","tlat.","Ce tlamantli tlacualiztli tlen quichiuhtoquehya cuechtic. “Martha quinahuatih iconeuh ma quintemili ipiyohuan nextamalli tlen tlatixtliya. ”","","","s.t. ground up.","tla1, tici (tlachiuhtli. )","IDIEZ"
"WHP-206232","tlatlehcō.","tlatlehcō.","tlach1.","Tlapatiyohua. “Nochipa tianquiz tlen Tepenahuac tlatlehco quemman yancuic xihuitl. ”","# Suben los precios de las cosas. “Ahora porque es tiempo de vacaciones todo subió en el tianguis”.","","for prices to soar.","tla6, tlehcō.","IDIEZ"
"WHP-206233","tlatopōni.","tlatopōni.","tlach2.","Quitlatiah tlamantli coheteh canahya huan caquizti chicahuac. “Tlatoponiya ichan Celia pampa moztla oncah tlaixpiyalli. ”","# Queman un cohete y se escucha fuerte. “Echan cohetes en casa de Celia porque mañana se va a matrimoniar”.","","for fireworks to shot up into the air in a certain place.","tla6, topōni.","IDIEZ"
"WHP-206234","tlatzihuiliā.","tlatzihuiliā.","tlach3.","nimo. Macehualli axtlen quinequi quichihuaz huan quinequi zan itztoz. “Noe zan yaya motlatzihuilia pampa axcanah quipalehuia itatah tequiti millah. ”","# Nimo. Una persona no quiere hacer nada y solamente quiere estar nomás. “Yo no como porque nada mas me hago flojo porque maíz hay y de comer tambien”.","","to feel lazy.","tlatzihui, liā2.","IDIEZ"
"WHP-206235","tlatzquīltiliā.","tlatzquīltiliā.","tlach3.","nic. Macehualli quipepechhuilia ce tlamantli ceyoc ce canahya. “Martin quitlatzquiltilia iamauh iconeuh pan tlapepecholli para ma yehyectzin neci. ”","# Persona pega una cosa de otro en algún lado. “mi papa le pego un pedazo de llores a su libro porque estaba  roto.”","","to stick s.t. somewhere for s.o.","tlatzquīltiā, liā2.","IDIEZ"
"WHP-206236","tlayāyāhuiya.","tlayāyāhuiya.","tlach2.","Motlalia mixtli yayahuic pampa huetziz zo quinequi huetziz atl. “Nonanan quemman techhuica canahya huan quiitta motlalia atl quihtoa, ‘Xinehnemican conemeh pampa neltlayayahuiyaya, melahua tlaahuetziz. ’”","# Se ponen las nubes negras porque quiere llover. “mi mama cuando nos lleva a algún lado y ve que se ponen las nubes, nos dice que caminen niños porque esta muy negro a lo mejor llueve.”","","for the sky to fill with clouds and get dark when it’s about to rain.","tla6, yāyāhuiya.","IDIEZ"
"WHP-206237","tlayōli.","tlayōli.","tlach2.","Zan motequihuia ica tlempano. Tlaeli canahya nochi tlamantli xihuitl huan tlacualiztli. “Nican yehyectzin tlayoli pampa axatitlan. ” ","# en algun lugar donde quiera se da todo tipo de yerbas si se come y lo que no se come. “aquí se da bonito todo porque no esta aguado la tierra”.","","for all types of plants to grow well in a certain place.","tla6, yōli.","IDIEZ"
"WHP-206238","tlazāhuati.","tlazāhuati.","tlach1.","Nochi ica oncah zahuatl. “Ni topilaltepeuh zan nochi tlazahuati pitzomeh pampa quinmauhqueh cequinoqueh. ”","# todos lados estan zarna. “aquí en nuestro rancho todos los puercos tienen sarna porque nada mas se va contagiando con esa enfermedad”.","","for all the animals in a certain place to have mange.","tla6, zāhuati.","IDIEZ"
"WHP-206239","tlazoltepēhuiliā.","tlazoltepēhuiliā.","tlach3.","nic. Macehualli quicuamahcahuilia ceyoc itlazol ce canahya. “Ce oquichpil nochipa yohui nochan nechontlazoltepehuilia. ”","# una persona le tira a otra su basura en algun lugar. “un niño siempre va a mi casa a tira mi basura”.","","to throw out s.o.’s garbage.","tlazoltepēhua, liā2.","IDIEZ"
"WHP-206240","tlehcōltiliā.","tlehcōltiliā.","tlach3.","nic. Macehualli quipalehuia quihuicaz ce tlamantli ica huahcapan ceyoc zo ce iyoyon tlen moquentihtoc huan axcualli eltoc. “Juan tlahuel cualani pampa nochipa quiillia ma quitlehcoltili iyoyon iicniuh huan ya axcanah quinequi. ”","# una persona le pone a otro una cosa o su ropa lo que se ha puesto esta arriba. “Juan se enoja mucho porque siempre le dice a su hermano que le suba su ropa  y ella no quiere”. ","","to help s.o. to put s.t. up high; to help s.o. to pull up their pants, skirt, sleeves, shirt or blouse.","tlehcōltiā, liā2.","IDIEZ"
"WHP-206241","tlepānitzhuiliā.","tlepānitzhuiliā.","tlach3.","nic. Macehualli quitlepanitta ceyoc iteixmatcauh. “Na tlahuel nictlepanitzhuilia iconeuh Maribel pampa cuecuetztzin huan quena hueli yohui icelti ontlacohua campa tlanamacah. ”","# una persona respeta a otra de su familia. “yo respeto mucho al hijoi de Mari porque aunque sea chiquito si puede ir a comprar donde venden”. ","","to respect s.o.’s relative.","tlapānitta, huiliā2.","IDIEZ"
"WHP-206242","tohtoloā.","tohtoloā.","tlach3.","nic. Macehualli, tecuani zo tlapiyalli quemman tlacua zan quimehmelacpanoltia itlacual pampa nelmayantoc zo ihcihui. “Ne chichi quemman mayana zan contohtoloa tlacualiztli tlen quimacah. ”","# una persona, animal silvestre y animal domestico cuando come nada mas lo pasa su comida porque tiene mucha hambre o tiene prisa. “ese perro caundo tiene hambre nada mas traga la comida lo que le dan”.","","for a person or animal that is very hungry to repeatedly swallow down food whole.","toloā (tlaomp. )","IDIEZ"
"WHP-206243","tomōniliā.","tomōniliā.","tlach3.","nic. Macehualli quicuitiquizhuilia ceyoc ce tlamantli zo icoco. “Maria quitomonilihtiquizqui icoztal Aurelio huan cemmoyauhqui icin. ”","# una persona pasa rozando a otra, una cosa o su grano donde esta o lo han dejado. “María le pasa rozando demasiado el grano a Rosa cuando pasa cerca de ella”. ","","to hit s.t. that belongs to s.o. or to nick s.o.’s sore when passing by.","tomōniā, liā2.","IDIEZ"
"WHP-206244","tzacuilhuiliā.","tzacuilhuiliā.","tlach3.","nic. Macehualli quitetonia ce tlamantli tlen ceyoc iaxca quemman quitohtoma pampa axquinequi ma huetzi tlalchi. “Quemman cinzaca Mariano, noicniuh quitzacuilhuilia icin para ma axcanah huetzi tlalchi huan ma axcanah cuitlatzayani icoztal. ”","# nic. Una persona atrapa algo cuando lo desata de otro dueño porque no quiere que se caiga en el suelo. “Cuando carea maíz Marinano mi hermano lo atrapa su maíz para que no se caiga en el suelo y que no se rompa su costal”.","","to stop s.t. from falling for s.o.","tzacuiliā, huiliā2.","IDIEZ"
"WHP-206245","tzahtzacua.","tzahtzacua.","tlach2.","1. nic. Macehualli quicuayahualoa ce tlamantli tlen quitoca para axcanah ma quicuacan tlapiyalmeh. “Rosa quemman xochitoca nochipa quintzahtzacua pampa axcanah quinequi ma quintzatzacatzacan piyomeh. ” 2. nic. Macehualli quicalaquia ce tlapiyalli canahya huan quinquehquetza miac cuahuitl zo ohtlatl para ma axcanah quiza. “Rosa quitzahtzacua icuapelech miltic pampa tlahuel nehnemi cehcoyoc. ”","# nic. Una persona encierra algo lo que siembra para que no se lo coman los pollos. “Rosa cuando siembra flores siempre los encierra porque no quiere que lo piquen los pollos”.","","1. to fence in s.t. one has planted in order to protect it. 2. to fence in a farm animal.","tzacua (tlaomp. )","IDIEZ"
"WHP-206246","tzatzayatzhuiliā.","tzatzayatzhuiliā.","tlach3.","nic. Macehualli quixehxelhuilia iyoyon zo iamauh ceyoc. “Jose quitzatzayatzhuilih Jorge icoton pampa quitihtilanilih chicahuac quemman mahuiltiyayah. ”","# nic. Una persona hace en pedacitos su ropa o papel de otro. “José le rompió la camisa de Jorge porque le jaló fuerte cuando estaban jugando”.","","to rip s.t., that belongs to s.o. else, up in many pieces.","tzatzayatza, huiliā2.","IDIEZ"
"WHP-206247","tzayāniliā.","tzayāniliā.","tlach3.","nic. Macehualli quixelhuilia ceyoc ce yoyomitl, ce tecactli zo ce amatl. “Juan quitzayanilih Manuel iyoyon quemman mohuilanqueh ne calli tlamachtihquetl. ”","# nic. Una persona rompe la camisa o el papel de otro. “Juan rompió la camisa de Manuel cuando se pelearon en la escuela”.","","to tear s.t. that belongs to someone else.","tzayāna, liā2.","IDIEZ"
"WHP-206248","tzilīniliā.","tzilīniliā.","tlach3.","nic. Macehualli quicalanilia ce tepoztli zo ce ahahuilli ce pilconetzin quemman tzahtzi zo quemman quinequi ma mahuilti. “Andrea axquiamati quimocuitlahuiz iahui iconeuh ihcatzan quitzilinilia iahahuilhuan. ”","# nic. Una persona le timbra un fiero o juguete a un bebé cuando llora o quiere que juegue. “Cuando llora el bebé de Hilda nada más le timbran su juguete y se calma en ese momento”.","","to jingle a bell or a toy for a baby.","tzilīniā, liā2.","IDIEZ"
"WHP-206249","tzīmpiloā.","tzīmpiloā.","tlach3.","nimo. Macehualli, tecuani zo tlapiyali motilana quemman ilpitoc zo quemman quihuicah canahya ica lazoh zo quemman quimatilantiyohuih huan axquinequi yaz. “Beto quemman quihuica ipitzo quionahaltia tlahuel motzimpiloa pampa axquinequi nehnemiz. ”","# persona, animal silvestre y animal domestico se estira cuando lleva algún lada con la cuerda o lo llevan de la mano y no quiere ir. “beto cuando lleva a su puerco a bañarse se estira para atrás porque no quiere caminar.”","","for a person or animal that is tied up or led somewhere to resist and pull back.","tzīntli, piloā.","IDIEZ"
"WHP-206250","tzīnquīxtiā.","tzīnquīxtiā.","tlach3.","1. nimo. Macehualli tlananquilia ica ce tlamantli, teipan axcanah monechcahuia. “Tordillo itztoc ce totlayi tlen motzinquixtia nochipa ica ce tequitl pampa tlahuel tlatzihui. ” 2. mo. Tecuani zo tlapiyalli tlen quiilpitoqueh zo quiitzquihtoqueh pehua motzinpiloa huan axcanah quinequi nehnemiz. “Quemman axoncah atl Dario quinahuatiah ma quiamacati pitzotl huan ya axquinequi yaz pampa tlahuel motzinquixtia huan quimahuilia quihuihcomaz. ”","# 1. Persona cuando contesta con una cosa después cuando ya se va hacer la cosa entonces dice que ella no lo va ha hacer. “en teocuayo esta un señor que primer le paga y cuando van a verlo para que al día siguiente vaya a trabajar se hecha para tras.” 2. animal silvestre y animal domestico que esta amarrado o esta agarrado empieza relinchar y no quiere caminar. “cuando no hay agua Darío lo mandan que le de agua al puerco pero el no quiere ir porque el puerco se hecha para tras y tiene miedo que lo enreden.”","","1. to back out of a commitment. 2. for an animal to pull on the rope or leash with which it is tied to s.t.","tzīnquīza, tiā1.","IDIEZ"
"WHP-206251","tzīntatacatzhuiliā.","tzīntatacatzhuiliā.","tlach3.","1. nic. Macehualli quiilpilia ceyoc ce tlapiyalli zo ce tlenhueli pan ce tlamantli itzintlan. “Sofia quillia imimi ma cualli quitzintatacatzhuili ipitzo pan tlaquetzalli pampa axquinequi ma xitomi. ” 2. nic. Macehualli quiilpilhuilia ceyoc ce cuayolli itzinquechtlan zo quiilpilhuilia ce mecatl ce tlapiyalli itzinquechtlan quemman quitlalhuilia icuitlapan ce cuaposteh. “Javier quitzintatacatzhuilia ipantalon ichocho pampa tlahuel coyahuac huan zan temo. ”","# Persona amarra fuerte una cosa den otro porque no quiere que se desate. “Sofía le dice a su hermano que le amarre bien su palo porque no quiere que se desate cuando lo lleve a su casa.”","","1. to tie an animal or s.t. for s.o. to the base of s.t. else. 2. to put a belt around s.o.’s waist or tie a cinch around a farm animal’s belly.","tzīntatacatzoā, huiliā2.","IDIEZ"
"WHP-206252","tzocōniliā.","tzocōniliā.","tlach3.","nic. Macehualli quitennamiquilia ceyoc iconeuh zo ceyoc iyoltzin. “Manuel tlahuel quitzoconilia Fabian iyoltzin huan pehua mohuilanah. ”","# Nic. Una persona acerca la boca a otro, su hijo o su amorcito.”Lalo le besa la mitad de la naranja de Fabián y empiezan a pelearse”.","","to kiss s.o.’s baby or partner.","tzocōniā, liā2.","IDIEZ"
"WHP-206253","tzōlhuiliā.","tzōlhuiliā.","tlach3.","nic. Macehualli quitentzocoyolhuilia ce coxtalli zo folzah tlen ceyoc pampa axquinequi ma tepehui tlen quipixtoc. “Victoriano qutzolhuilih ifolzah ichocho pampa quimacac cintli ma quihuica campa inanan. “","","","to tie up the opening of s.o.’s sack or bag.","tzōloā, huiliā2.","IDIEZ"
"WHP-206254","xixipetza.","xixipetza.","tlach2.","nic. Macehualli quiquixtilia ipetlayo ce tlamantli cuatlacquetl. “Pablo quixixipetza camohtli tlen quimanaz inanan ni ilhuititlan. ” ","# nic. Una persona le quita la cáscara de una fruta con la mano. “Pablo peló el cacao de su mamá porque hizo chocolate”.","","to peel a piece of fruit or a vegetable by hand.","xipēhua (tlaomp. )","IDIEZ"
"WHP-206255","xipēhui.","xipēhui.","tlach2.","Motlalana huan huetzi icuetlaxxo macehuallil, tecuani zo tlapiyalli quemman lichintoc. “Victor quemman mahuiltito huetzqui huan mocuatotoxqui pan tlalli; teipan xipeuhqui icuetlaxxo tlen pan imah. ”","# Se levanta el cuero de una persona, un animal silvestre y un animal domestico cuando se ha hinchado. “Víctor cuando fue a jugar se cayó y se arrastró en la tierra, y se peló el cuero de su mano”.","","for skin to peel.","xiptli, ēhui.","IDIEZ"
"WHP-206256","xixipeca.","xixipeca.","tlach1.","Cocopeca icuetlaxxo macehualli zo tlapiyalli quemman huahhuaqui pampa mococoah zo quemman tlahuel quitlatihtoc tonatiuh. “Pedro itztoya cemilhuitl pan ce pilayahualtzin huan axtlen motlalhuilih pan itlacayo; naman xixipeca icuitlapan pampa tlahuel quitlatih tonatiuh. ”","# Se despega el cuero de una persona cuando se seca porque está enfermo o cuando lo ha quemado mucho el sol. “Pedro estaba todo el día en una presita y no se poso nada en su cuerpo ahora se pela en su espalda porque lo quemó mucho el sol”.","","for skin to peel.","xipēhui (tlaomp. )","IDIEZ"
